at;cgf_id;original_run_id;parent_run_id;status;reason;escape_level;consecutive_no_material_candidate;quarantined_run_dir;original_run_dir;candidate_family;candidate_axis;experiment_log_rows_removed
2026-04-30T23:26:10;CGF_000011;EXP_1283;EXP_1281;blocked_no_material_candidate;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;;1;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\candidate_generation_failures\CGF_000011_EXP_1283_260430232610;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1283_260430232607;;;1
2026-04-30T23:26:20;CGF_000012;EXP_1283;EXP_1281;blocked_no_material_candidate;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;;2;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\candidate_generation_failures\CGF_000012_EXP_1283_260430232620;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1283_260430232616;;;1
2026-04-30T23:26:30;CGF_000013;EXP_1283;EXP_1281;blocked_no_material_candidate;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;;3;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\candidate_generation_failures\CGF_000013_EXP_1283_260430232630;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1283_260430232626;;;1
2026-04-30T23:26:40;CGF_000014;EXP_1283;EXP_1281;blocked_no_material_candidate;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;;4;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\candidate_generation_failures\CGF_000014_EXP_1283_260430232640;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1283_260430232636;;;1
2026-04-30T23:26:55;CGF_000015;EXP_1283;EXP_1281;blocked_no_material_candidate;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;escape;5;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\candidate_generation_failures\CGF_000015_EXP_1283_260430232655;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1283_260430232647;;;1
2026-04-30T23:27:06;CGF_000016;EXP_1283;EXP_1281;blocked_no_material_candidate;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;;6;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\candidate_generation_failures\CGF_000016_EXP_1283_260430232706;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1283_260430232701;;;1
2026-04-30T23:27:15;CGF_000017;EXP_1283;EXP_1281;blocked_no_material_candidate;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;;7;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\candidate_generation_failures\CGF_000017_EXP_1283_260430232715;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1283_260430232711;;;1
2026-04-30T23:27:22;CGF_000018;EXP_1283;EXP_1281;blocked_no_material_candidate;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;;8;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\candidate_generation_failures\CGF_000018_EXP_1283_260430232722;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1283_260430232720;;;1
2026-04-30T23:27:32;CGF_000019;EXP_1283;EXP_1281;blocked_no_material_candidate;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;;9;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\candidate_generation_failures\CGF_000019_EXP_1283_260430232732;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1283_260430232728;;;1
2026-04-30T23:27:42;CGF_000020;EXP_1283;EXP_1281;blocked_no_material_candidate;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;parent_reset;10;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\candidate_generation_failures\CGF_000020_EXP_1283_260430232742;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1283_260430232738;;;1
2026-05-01T01:06:41;CGF_000021;EXP_1290;EXP_1288;blocked_no_material_candidate;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;;1;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\candidate_generation_failures\CGF_000021_EXP_1290_260501010640;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1290_260501010637;;;1
2026-05-01T01:06:51;CGF_000022;EXP_1290;EXP_1288;blocked_no_material_candidate;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;;2;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\candidate_generation_failures\CGF_000022_EXP_1290_260501010651;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1290_260501010647;;;1
2026-05-01T01:07:02;CGF_000023;EXP_1290;EXP_1288;blocked_no_material_candidate;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;;3;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\candidate_generation_failures\CGF_000023_EXP_1290_260501010701;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1290_260501010657;;;1
2026-05-01T01:07:16;CGF_000024;EXP_1290;EXP_1288;blocked_no_material_candidate;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;;4;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\candidate_generation_failures\CGF_000024_EXP_1290_260501010716;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1290_260501010711;;;1
2026-05-01T01:07:26;CGF_000025;EXP_1290;EXP_1288;blocked_no_material_candidate;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;escape;5;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\candidate_generation_failures\CGF_000025_EXP_1290_260501010726;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1290_260501010723;;;1
2026-05-01T01:07:34;CGF_000026;EXP_1290;EXP_1288;blocked_no_material_candidate;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;;6;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\candidate_generation_failures\CGF_000026_EXP_1290_260501010734;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1290_260501010732;;;1
2026-05-01T01:07:43;CGF_000027;EXP_1290;EXP_1288;blocked_no_material_candidate;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;;7;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\candidate_generation_failures\CGF_000027_EXP_1290_260501010743;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1290_260501010740;;;1
2026-05-01T01:07:51;CGF_000028;EXP_1290;EXP_1288;blocked_no_material_candidate;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;;8;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\candidate_generation_failures\CGF_000028_EXP_1290_260501010750;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1290_260501010749;;;1
2026-05-01T01:07:58;CGF_000029;EXP_1290;EXP_1288;blocked_no_material_candidate;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;;9;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\candidate_generation_failures\CGF_000029_EXP_1290_260501010758;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1290_260501010757;;;1
2026-05-01T01:08:06;CGF_000030;EXP_1290;EXP_1288;blocked_no_material_candidate;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;parent_reset;10;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\candidate_generation_failures\CGF_000030_EXP_1290_260501010806;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1290_260501010804;;;1
