run_id;date;parent_run_id;status;accepted_or_rejected;main_parameter;main_to;dependent_parameter;dependent_to;strategy_family;profile_mode;min_spy_channel_r2;max_avg_profile_distance;enable_close_vs_sma50_filter;max_close_vs_sma50_pct;top_candidates_next_week;w8_weeks_traded;w24_weeks_traded;w52_weeks_traded;w8_trades;w24_trades;w52_trades;w8_wins;w24_wins;w52_wins;w8_losses;w24_losses;w52_losses;w8_ties;w24_ties;w52_ties;w8_avg_net_return_pct;w24_avg_net_return_pct;w52_avg_net_return_pct;w8_total_net_pnl_dollars;w24_total_net_pnl_dollars;w52_total_net_pnl_dollars;w8_spy_compare;w24_spy_compare;w52_spy_compare;run_dir
EXP_554;2026-04-30 10:24:13;EXP_396;run_partial_valid;rejected;TOP_CANDIDATES_NEXT_WEEK;5;;;;;;;;;;2;;22;10;;110;2;;27;3;;39;5;;44;-0,48;;1,22363090909;-24;;672,9972;-1,8648002158;;0,891577749831;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_554_260430100814
EXP_555;2026-04-30 10:41:07;EXP_392;run_ok;rejected;MIN_SPY_CHANNEL_R2;0.41;;;;;;;;;;5;8;31;10;16;62;5;7;23;2;5;17;3;4;22;3,82;3,8325;3,34258064516;191;306,6;1036,2;3,6761483837;2,72101530986;2,80779636723;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_555_260430102420
EXP_561;2026-04-30 10:51:45;EXP_392;run_ok;rejected;TOP_SIMILAR_SPY_WEEKS;16;;;;;;;;;;5;7;28;10;14;56;5;5;18;2;4;21;3;5;17;3,32;1,66285714286;1,52;166;116,4;425,6;3,1761483837;0,865227670052;1,20076797909;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_561_260430104155
EXP_567;2026-04-30 12:26:06;EXP_396;run_ok;rejected;ENABLE_CLOSE_VS_SMA50_FILTER;True;MAX_CLOSE_VS_SMA50_PCT;0.5;;;;;;;;3;5;16;9;15;48;4;5;11;3;5;19;2;5;18;1,40888888889;1,52;0,8325;63,4;114;199,8;1,13101474307;0,853172291597;0,129205231005;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_567_260430120604
EXP_573;2026-04-30 12:40:59;EXP_396;run_ok;rejected;MAX_AVG_PROFILE_DISTANCE;0.19;;;;;;;;;;6;9;32;18;27;96;8;10;33;6;11;30;4;6;33;1,68666666667;1,59407407407;2,57208333333;151,8;215,2;1234,6;1,73538316905;0,760812874995;2,07274119185;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_573_260430122655
EXP_574;2026-04-30 13:01:48;EXP_392;run_ok;rejected;MAX_AVG_PROFILE_DISTANCE;0.22;;;;;;;;;;7;10;34;14;20;68;7;9;25;4;7;18;3;4;25;2,59142857143;2,97;3,12294117647;181,4;297;1061,8;2,38480392663;2,04619776804;2,59328692106;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_574_260430124106
EXP_602;2026-04-30 13:15:15;EXP_396;run_ok;rejected;TOP_SIMILAR_SPY_WEEKS;16;;;;;;;;;;4;6;26;12;18;78;5;7;26;3;5;28;4;6;24;1,93666666667;2,35333333333;1,87897435897;116,2;211,8;732,8;2,12845826783;1,67050302942;1,57031219251;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_602_260430130541
EXP_615;2026-04-30 13:33:24;EXP_396;run_partial_valid;rejected;MAX_AVG_PROFILE_DISTANCE;0.15;;;;;;;;;;2;;19;6;;57;1;;16;2;;16;3;;25;-0,813333333333;;2,50245614035;-24,4;;713,2;-2,19813354913;;2,06033914327;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_615_260430131644
EXP_1278;2026-04-30 21:43:42;BASELINE_CLEAN;run_ok;accepted;TOP_CANDIDATES_NEXT_WEEK;4;;;;;;;;;;3;4;26;12;16;104;6;8;37;2;3;38;4;5;29;3,18666666667;3,5825;2,20558269231;191,2;286,6;1146,9026;3,18782197227;2,85149108474;1,82191095604;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1278_260430213253
EXP_1279;2026-04-30 21:59:19;EXP_1278;run_ok;rejected;TOP_SIMILAR_SPY_WEEKS;28;;;;;;;;;;3;4;27;12;16;108;6;7;33;3;5;37;3;4;38;1,85333333333;1,9575;1,77;111,2;156,6;955,8;1,85448863894;1,22649108474;1,34764320753;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1279_260430214348
