run_id,run_num,first_seen,last_seen,classification,status,decision,reason,parent_run_id,candidate_family,candidate_axis,accepted_for_followup,accepted_bool,promoted_to_baseline,promoted_bool,baseline_changed,baseline_changed_bool,do_not_use_as_parent,do_not_use_bool,executed_windows,real_run,operational_error,artifact_dirs_found,sample_artifact_dir,w52_avg_net_return_pct,w52_spy_compare,w52_pnl,w52_trades,w24_avg_net_return_pct,w24_spy_compare,w8_avg_net_return_pct,w8_spy_compare
EXP_1278,1278,2026-04-30 21:43:43,2026-04-30 21:43:43,baseline_changed,run_ok,accepted_for_followup,refine_current_branch,,,,True,True,False,False,False,False,,False,"4,8,24,52",True,False,0,,,,,,,,,
EXP_1280,1280,2026-04-30 22:18:22,2026-04-30 22:18:22,baseline_changed,run_ok,accepted_for_followup,extend_validation,,,,True,True,False,False,False,False,,False,"4,8,24,52",True,False,0,,,,,,,,,
EXP_1281,1281,2026-04-30 23:07:57,2026-04-30 23:07:57,baseline_changed,run_ok,accepted_for_followup,extend_validation,,,,True,True,False,False,False,False,,False,"4,8,24,52",True,False,0,,,,,,,,,
EXP_1283,1283,2026-04-30 23:39:22,2026-04-30 23:39:22,baseline_changed,run_ok,accepted_for_followup,refine_current_branch,,,,True,True,False,False,False,False,,False,"4,8,24,52",True,False,0,,,,,,,,,
EXP_1284,1284,2026-04-30 23:54:52,2026-04-30 23:54:52,baseline_changed,run_ok,accepted_for_followup,refine_current_branch,,,,True,True,False,False,False,False,,False,"4,8,24,52",True,False,0,,,,,,,,,
EXP_1285,1285,2026-05-01 00:05:52,2026-05-01 00:05:52,baseline_changed,run_ok,accepted_for_followup,extend_validation,,,,True,True,False,False,False,False,,False,"4,8,24,52",True,False,0,,,,,,,,,
EXP_1286,1286,2026-05-01 00:18:37,2026-05-01 00:18:37,baseline_changed,run_ok,accepted_for_followup,extend_validation,,,,True,True,False,False,False,False,,False,"4,8,24,52",True,False,0,,,,,,,,,
EXP_1287,1287,2026-05-01 00:37:02,2026-05-01 00:37:02,baseline_changed,run_ok,accepted_for_followup,refine_current_branch,,,,True,True,False,False,False,False,,False,"4,8,24,52",True,False,0,,,,,,,,,
EXP_1288,1288,2026-05-01 00:50:27,2026-05-01 00:50:27,baseline_changed,run_ok,accepted_for_followup,extend_validation,,,,True,True,False,False,False,False,,False,"4,8,24,52",True,False,0,,,,,,,,,
EXP_1290,1290,2026-05-01 01:36:05,2026-05-01 01:36:05,baseline_changed,run_ok,accepted_for_followup,refine_current_branch,,,,True,True,False,False,False,False,,False,"4,8,24,52",True,False,0,,,,,,,,,
