run_id,run_num,first_seen,last_seen,classification,status,decision,reason,parent_run_id,candidate_family,candidate_axis,accepted_for_followup,accepted_bool,promoted_to_baseline,promoted_bool,baseline_changed,baseline_changed_bool,do_not_use_as_parent,do_not_use_bool,executed_windows,real_run,operational_error,artifact_dirs_found,sample_artifact_dir,w52_avg_net_return_pct,w52_spy_compare,w52_pnl,w52_trades,w24_avg_net_return_pct,w24_spy_compare,w8_avg_net_return_pct,w8_spy_compare
EXP_1141,1141,2026-04-30 16:21:04,2026-04-30 16:21:04,blocked_no_material_candidate,blocked_no_material_candidate,rejected,controlled_exploration,,,,False,False,False,False,False,False,,False,,False,False,0,,,,,,,,,
EXP_1142,1142,2026-04-30 16:21:17,2026-04-30 16:21:17,blocked_no_material_candidate,blocked_no_material_candidate,rejected,controlled_exploration,,,,False,False,False,False,False,False,,False,,False,False,0,,,,,,,,,
EXP_1143,1143,2026-04-30 16:21:27,2026-04-30 16:21:27,blocked_no_material_candidate,blocked_no_material_candidate,rejected,controlled_exploration,,,,False,False,False,False,False,False,,False,,False,False,0,,,,,,,,,
EXP_1144,1144,2026-04-30 16:21:36,2026-04-30 16:21:36,blocked_no_material_candidate,blocked_no_material_candidate,rejected,controlled_exploration,,,,False,False,False,False,False,False,,False,,False,False,0,,,,,,,,,
EXP_1145,1145,2026-04-30 16:21:45,2026-04-30 16:21:45,blocked_no_material_candidate,blocked_no_material_candidate,rejected,controlled_exploration,,,,False,False,False,False,False,False,,False,,False,False,0,,,,,,,,,
EXP_1146,1146,2026-04-30 16:21:58,2026-04-30 16:21:58,blocked_no_material_candidate,blocked_no_material_candidate,rejected,controlled_exploration,,,,False,False,False,False,False,False,,False,,False,False,0,,,,,,,,,
EXP_1147,1147,2026-04-30 16:22:09,2026-04-30 16:22:09,blocked_no_material_candidate,blocked_no_material_candidate,rejected,controlled_exploration,,,,False,False,False,False,False,False,,False,,False,False,0,,,,,,,,,
EXP_1148,1148,2026-04-30 16:22:18,2026-04-30 16:22:18,blocked_no_material_candidate,blocked_no_material_candidate,rejected,controlled_exploration,,,,False,False,False,False,False,False,,False,,False,False,0,,,,,,,,,
EXP_1149,1149,2026-04-30 16:22:26,2026-04-30 16:22:26,blocked_no_material_candidate,blocked_no_material_candidate,rejected,controlled_exploration,,,,False,False,False,False,False,False,,False,,False,False,0,,,,,,,,,
EXP_1150,1150,2026-04-30 16:22:36,2026-04-30 16:22:36,blocked_no_material_candidate,blocked_no_material_candidate,rejected,controlled_exploration,,,,False,False,False,False,False,False,,False,,False,False,0,,,,,,,,,
EXP_1151,1151,2026-04-30 16:22:44,2026-04-30 16:22:44,blocked_no_material_candidate,blocked_no_material_candidate,rejected,controlled_exploration,,,,False,False,False,False,False,False,,False,,False,False,0,,,,,,,,,
EXP_1152,1152,2026-04-30 16:22:52,2026-04-30 16:22:52,blocked_no_material_candidate,blocked_no_material_candidate,rejected,controlled_exploration,,,,False,False,False,False,False,False,,False,,False,False,0,,,,,,,,,
EXP_1153,1153,2026-04-30 16:23:00,2026-04-30 16:23:00,blocked_no_material_candidate,blocked_no_material_candidate,rejected,controlled_exploration,,,,False,False,False,False,False,False,,False,,False,False,0,,,,,,,,,
EXP_1154,1154,2026-04-30 16:23:10,2026-04-30 16:23:10,blocked_no_material_candidate,blocked_no_material_candidate,rejected,controlled_exploration,,,,False,False,False,False,False,False,,False,,False,False,0,,,,,,,,,
EXP_1155,1155,2026-04-30 16:23:19,2026-04-30 16:23:19,blocked_no_material_candidate,blocked_no_material_candidate,rejected,controlled_exploration,,,,False,False,False,False,False,False,,False,,False,False,0,,,,,,,,,
EXP_1156,1156,2026-04-30 16:23:29,2026-04-30 16:23:29,blocked_no_material_candidate,blocked_no_material_candidate,rejected,controlled_exploration,,,,False,False,False,False,False,False,,False,,False,False,0,,,,,,,,,
EXP_1157,1157,2026-04-30 16:23:42,2026-04-30 16:23:42,blocked_no_material_candidate,blocked_no_material_candidate,rejected,controlled_exploration,,,,False,False,False,False,False,False,,False,,False,False,0,,,,,,,,,
EXP_1158,1158,2026-04-30 16:23:53,2026-04-30 16:23:53,blocked_no_material_candidate,blocked_no_material_candidate,rejected,controlled_exploration,,,,False,False,False,False,False,False,,False,,False,False,0,,,,,,,,,
EXP_1159,1159,2026-04-30 16:24:02,2026-04-30 16:24:02,blocked_no_material_candidate,blocked_no_material_candidate,rejected,controlled_exploration,,,,False,False,False,False,False,False,,False,,False,False,0,,,,,,,,,
EXP_1160,1160,2026-04-30 16:24:12,2026-04-30 16:24:12,blocked_no_material_candidate,blocked_no_material_candidate,rejected,controlled_exploration,,,,False,False,False,False,False,False,,False,,False,False,0,,,,,,,,,
EXP_1161,1161,2026-04-30 16:24:20,2026-04-30 16:24:20,blocked_no_material_candidate,blocked_no_material_candidate,rejected,controlled_exploration,,,,False,False,False,False,False,False,,False,,False,False,0,,,,,,,,,
